name,cuisine,inspection_date,score,critical
NUBIANI,Korean,09/13/2024,12,0
MAMOUNS FALAFEL,Middle Eastern,11/22/2021,23,1
SIX HAPPINESS,Chinese,03/06/2025,24,1
KYURAMEN/MAIKO,Japanese,08/22/2023,10,1
PETRARCA,Italian,12/26/2023,41,0
MOKBAR,Korean,05/24/2022,24,0
HYO DONG GAK,Korean,06/11/2024,27,1
SQUARE PIZZA,Pizza,01/26/2022,31,1
THE ROOF,American,03/04/2025,20,1
BELLA UNION,American,05/26/2023,9,1
SMILE TO GO,American,09/25/2023,8,1
MAMA MIA 44 SW,Italian,07/22/2021,16,1
NEW DYNASTY,Chinese,12/28/2023,53,1
KAITEN ZUSHI NOMAD,Other,08/22/2023,28,1
DIG,American,01/09/2025,24,1
OFRENDA,Mexican,04/18/2023,11,0
JUST SALAD,Salads,03/31/2023,10,1
GOLDEN CITY CHINESE RESTAURANT,Chinese,01/10/2022,42,0
BAP,Korean,10/23/2018,22,1
AYADA,Thai,12/24/2024,24,1
NORMA,Italian,07/25/2024,26,0
PINKBERRY,Frozen Desserts,11/07/2024,13,1
PHO GRAND,Southeast Asian,11/14/2024,44,0
URBAN VEGAN KITCHEN,Vegan,08/18/2021,7,1
SUSHI SEKI,Japanese,10/10/2023,26,1
SKY ROOM,American,01/19/2017,13,0
LIN'S GOURMET,Chinese,01/10/2023,12,1
CHRIS'S KITCHEN,American,06/27/2024,40,1
KASHKAVAL GARDEN,Mediterranean,12/11/2023,32,0
UFT - KITCHEN WORKS,American,02/16/2024,7,1
DEAD RABBIT TAVERN,Irish,06/27/2022,79,0
BOWLMOR CHELSEA PIERS,American,05/05/2023,21,1
VERS,American,12/10/2024,7,0
UT47 MANHATTAN,Coffee/Tea,10/18/2019,11,0
RAKU RESTAURANT,Japanese,03/12/2024,13,0
ANYTIME SOJU,Korean,02/22/2022,29,1
$1.50 PIZZA SLICE,Pizza,08/27/2024,39,1
DI FARA,Pizza,07/24/2023,27,1
SPICE,Thai,09/20/2022,29,0
SUSHI SEN-NIN,Japanese,08/14/2024,27,1
DOMINO'S,Pizza,01/10/2022,30,0
BENARES RESTAURANT,Indian,11/19/2024,40,1
SILKY KITCHEN,Chinese,05/10/2022,20,0
TACO HUT,Chinese,12/05/2022,19,1
NEW SHUN WEI RESTAURANT,Chinese,06/10/2024,33,1
AMAZON CAFETERIA,Coffee/Tea,11/20/2024,10,1
TRIONA'S,Irish,01/28/2025,13,1
PENGUIN ICE CREAM,Frozen Desserts,05/18/2022,11,0
JUST LORRAINE'S PLACE TWO,American,01/09/2023,17,1
EMPANADA MAMA,Spanish,05/27/2022,13,0
ATOMIX,Korean,05/23/2023,12,1
COOPER TOWN DINER,American,08/09/2022,12,0
MOXY EAST VILLAGE,French,02/16/2022,9,0
TAIM,Vegan,03/02/2022,12,1
THE GREY DOG,American,06/09/2022,4,0
TOM'S RESTAURANT,American,07/17/2024,24,1
DILL & PARSLEY,Mediterranean,06/16/2022,0,1
SUSHI SEN-NIN,Japanese,11/08/2023,26,1
KA WAH BAKERY,Chinese,07/13/2022,36,1
THE BOWERY BALLROOM,American,03/09/2022,6,0
THAI DINER,Thai,08/13/2024,12,1
PIZZA TOWN,Pizza,04/25/2022,59,1
HO LEE,Chinese,10/15/2024,9,1
CAFE DU SOLEIL,French,05/24/2022,31,0
