"realpseudo","resp","rt","item","id"
pseudo,0,0.23501,ag,1934
pseudo,0,0.92292,ag,373
pseudo,0,4.62501,ag,87
pseudo,0,2.69868,ag,245
pseudo,0,1.1665,ag,3247
pseudo,0,3.32727,ag,2188
pseudo,0,0.485295,ag,253
pseudo,0,5.64141,ag,67
real,0,1.28499,am,406
real,0,1.188,am,2946
real,0,2.56794,am,1240
real,0,0.780485,am,2227
real,0,0.71794,am,2239
real,0,0.93375,am,67
real,0,1.0222,am,2584
real,0,1.06844,am,2065
real,0,0.44008,am,2045
real,0,0.76341,am,321
real,0,0.864995,am,41
real,0,0.93972,am,2536
real,0,0.992445,am,1945
real,0,0.657,am,1429
real,0,2.03474,am,467
real,0,0.39781,am,2741
real,0,0.00274,am,1934
real,0,0.414705,am,2021
real,0,0.5518,am,395
real,0,0.267,am,3237
real,0,1.01331,am,215
real,0,0.742635,am,305
real,0,0.4914,am,445
real,0,0.97788,am,36
real,0,1.417555,am,1857
real,0,0.619985,am,153
real,0,0.58753,am,1366
real,0,6.881395,am,2455
real,0,1.030525,am,51
real,0,1.35074,am,1365
real,0,0.74948,am,1930
real,0,0.66611,am,223
real,0,1.407365,am,87
real,0,0.56917,am,1846
real,0,0.598875,am,358
real,0,1.13438,am,1856
real,0,1.16476,am,353
real,0,0.671575,am,3254
real,0,1.08261,an,416
real,0,1.590625,an,1856
real,0,0.616395,an,3254
real,0,0.56187,an,219
real,0,1.60451,an,1857
real,0,0.633465,an,381
real,0,4.640085,an,2188
real,0,1.667755,an,406
real,0,0.867,an,1922
real,0,0.858985,an,2045
real,0,0.684375,an,349
real,0,0.62,an,1429
real,0,0.3121,an,446
real,0,0.53252,an,1807
real,0,1.59192,an,293
real,0,0.90071,an,2021
real,0,0.39175,an,3230
real,0,0.531945,an,465
real,0,0.919615,an,2065
real,0,0.930215,an,215
real,0,1.5306,an,2614
real,0,0.438705,an,2494
real,0,1.52299,an,51
real,0,0.684325,an,253
real,0,1.851955,an,2227
real,0,0.6431,an,223
real,0,1.06609,an,1946
real,0,0.977015,an,3237
real,0,0.45054,an,183
real,0,0.734935,an,2088
real,0,0.0746,an,1934
real,0,13.8732,an,2041
pseudo,0,0.470505,ap,3230
pseudo,0,0.220905,ap,1489
pseudo,0,1.074575,ap,3237
pseudo,0,1.340525,ap,2609
pseudo,0,0.299535,ap,2065
pseudo,0,1.87008,ap,2041
pseudo,0,0.316275,ap,2021
pseudo,0,0.051425,ap,1934
pseudo,0,0.621615,ap,1930
pseudo,0,1.467035,ap,373
pseudo,0,2.387925,ap,346
pseudo,0,1.83301,ap,1240
pseudo,0,0.69998,ar,367
pseudo,0,0.472265,ar,132
pseudo,0,1.23235,ar,2536
pseudo,0,1.61918,ar,23
pseudo,0,4.59191,ar,309
pseudo,0,1.29958,ar,346
pseudo,0,0.969305,ar,293
pseudo,0,4.83297,ar,2598
pseudo,0,2.561035,ar,373
pseudo,0,0.851105,ar,2045
pseudo,0,0.421435,ar,465
pseudo,0,0.60069,ar,1459
pseudo,0,0.450695,ar,3230
pseudo,0,0.47601,ar,2065
pseudo,0,1.075615,ar,2741
pseudo,0,0.51547,ar,253
pseudo,0,0.100875,ar,2021
pseudo,0,0.4034,ar,446
pseudo,0,0.342335,ar,3237
pseudo,0,0.60888,ar,338
pseudo,0,0.913755,ar,245
pseudo,0,0.480925,ar,3254
pseudo,0,0.87104,ar,36
real,0,3.534155,as,2598
real,0,0.39925,as,87
real,0,5.063985,as,215
real,0,0.641845,as,2609
real,0,0.67959,as,43
real,0,0.869,as,1922
real,0,0.404785,as,1489
real,0,0.224005,as,346
real,0,0.60366,as,358
real,0,0.85911,as,2555
real,0,2.61319,as,2188
real,0,0.76057,as,219
real,0,0.358525,as,427
real,0,0.694255,as,3247
real,0,0.539735,as,2045
real,0,0.20392,as,2494
real,0,7.01139,as,2741
real,0,0.15138,as,1960
real,0,0.550735,as,1763
real,0,0.4133,as,1841
real,0,0.600625,as,1930
real,0,0.628005,as,2193
real,0,0.533665,as,2998
real,0,0.78675,as,361
real,0,0.534545,as,465
real,0,1.61982,as,2021
real,0,0.416785,as,1934
real,0,0.3706,as,446
real,0,0.497925,as,1488
real,0,0.80506,as,416
real,0,0.699845,as,85
real,0,0.60321,at,338
real,0,0.466,at,352
real,0,0.2717,at,445
real,0,0.634485,at,2239
real,0,0.5009,at,465
real,0,0.672495,at,2609
real,0,0.538,at,22
real,0,1.081005,at,67
real,0,0.55167,at,331
real,0,1.214125,at,1807
real,0,0.194545,at,2741
real,0,2.47915,at,215
real,0,1.8,at,2946
real,0,0.326745,at,1366
real,0,0.917025,at,467
real,0,0.1214,at,446
real,0,0.595245,at,1488
real,0,0.44624,at,211
real,0,2.661,at,1922
real,0,0.466615,at,395
real,0,0.403555,at,1841
real,0,0.25652,at,3254
real,0,0.55848,at,2612
real,0,0.4742,be,2598
real,0,0.94949,be,223
real,0,1.091835,be,215
real,0,0.497365,be,1934
real,0,0.118405,be,2065
real,0,0.533645,be,2998
real,0,3.57973,be,2741
real,0,0.633245,be,1590
real,0,0.58284,be,381
real,0,0.832075,be,416
real,0,0.8831,be,241
real,0,0.86854,be,367
real,0,0.695425,be,2193
pseudo,0,0.89637,bi,1365
pseudo,0,0.184805,bi,2021
pseudo,0,1.28288,bi,373
pseudo,0,0.40652,bi,3230
pseudo,0,0.567515,bi,1857
pseudo,0,1.723835,bi,1241
pseudo,0,5.88192,bi,2346
pseudo,0,1.208045,bi,2045
pseudo,0,0.24722,bi,87
pseudo,0,0.5183,bi,2741
pseudo,0,1.236355,bi,2101
pseudo,0,1.360655,bi,305
pseudo,0,0.44732,bi,2065
pseudo,0,0.2215,bi,445
pseudo,0,0.437165,bi,2612
pseudo,0,0.89979,bi,3254
pseudo,0,2.083295,bi,1061
pseudo,0,0.84887,bi,427
pseudo,0,0.332165,da,2021
pseudo,0,0.34879,da,1841
pseudo,0,10.524535,da,2041
pseudo,0,3.038505,da,373
pseudo,0,1.084385,da,305
pseudo,0,1.082415,da,245
pseudo,0,0.52355,da,2159
pseudo,0,0.463825,da,153
pseudo,0,0.95334,da,331
pseudo,0,0.67769,da,3247
pseudo,0,0.465425,da,87
pseudo,0,0.28722,da,2045
pseudo,0,0.584,da,352
pseudo,0,2.35805,de,338
pseudo,0,0.15571,de,1365
pseudo,0,0.7252,de,2704
pseudo,0,0.553895,de,2494
pseudo,0,0.331455,de,1489
pseudo,0,1.553115,de,230
pseudo,0,0.14017,de,2021
pseudo,0,2.713355,de,373
pseudo,0,0.658535,de,1841
pseudo,0,1.25,de,1922
pseudo,0,0.682505,de,253
pseudo,0,1.862235,de,2741
pseudo,0,0.98723,de,2584
pseudo,0,4.622695,de,2227
pseudo,0,0.516065,de,2555
pseudo,0,0.9686,de,1590
pseudo,0,0.96686,de,2697
pseudo,0,3.26478,de,3170
pseudo,0,1.35067,de,367
real,0,0.29384,do,1934
real,0,0.32349,do,3237
real,0,0.83706,do,447
real,0,1.25157,do,67
real,0,1.362775,do,406
real,0,0.49906,do,2998
real,0,0.490465,do,1807
real,0,1.923645,do,2346
real,0,0.784605,do,1489
real,0,0.738465,do,2697
real,0,0.0671,do,445
real,0,0.76558,do,1240
real,0,0.333845,do,2455
real,0,0.51573,do,43
real,0,0.31544,do,1841
pseudo,0,0.668985,ef,3230
pseudo,0,0.286175,ef,2021
pseudo,0,0.168,ef,1922
pseudo,0,0.31414,ef,1489
pseudo,0,0.13497,ef,1934
pseudo,0,0.81701,ef,2494
pseudo,0,1.418925,ef,2144
pseudo,0,0.694515,ef,1488
pseudo,0,0.866875,ef,1846
pseudo,0,0.5881,ef,446
pseudo,0,1.599625,ef,373
pseudo,0,0.288675,ef,2159
pseudo,0,1.28456,ef,67
pseudo,0,0.53287,ef,1590
pseudo,0,0.499205,ef,1930
pseudo,0,1.133105,ef,2584
pseudo,0,0.306605,ef,2741
pseudo,0,0.47249,en,2065
pseudo,0,1.03685,en,373
pseudo,0,0.787125,en,2598
pseudo,0,1.46979,en,2045
pseudo,0,1.55321,en,1590
pseudo,0,1.01987,en,2455
pseudo,0,0.34125,en,1841
pseudo,0,1.67945,en,346
pseudo,0,0.08954,en,2159
pseudo,0,0.23863,en,427
pseudo,0,1.51682,en,1489
pseudo,0,1.31965,en,2021
pseudo,0,0.31773,et,3254
pseudo,0,0.36964,et,1934
pseudo,0,2.68715,et,1807
pseudo,0,1.030015,et,41
pseudo,0,1.47693,et,245
pseudo,0,0.291115,et,2065
pseudo,0,0.850545,et,2041
pseudo,0,2.0825,et,373
pseudo,0,1.688905,et,1856
pseudo,0,0.822075,et,2227
pseudo,0,0.58258,et,1489
pseudo,0,0.43247,ge,211
pseudo,0,2.37996,ge,2558
pseudo,0,0.317,ge,446
pseudo,0,1.248125,ge,2584
pseudo,0,0.67593,ge,3247
pseudo,0,1.133055,ge,2536
pseudo,0,0.70084,ge,353
pseudo,0,1.10557,ge,1856
pseudo,0,2.16413,ge,215
pseudo,0,0.539735,ge,2045
pseudo,0,0.440825,ge,3254
pseudo,0,0.83538,ge,1489
pseudo,0,0.30042,ge,1841
pseudo,0,0.381465,ge,3230
pseudo,0,0.32414,ge,3237
pseudo,0,1.27097,ge,2041
pseudo,0,1.149,ge,1922
pseudo,0,0.45441,ge,2159
pseudo,0,1.433255,ge,373
real,0,0.64039,go,353
real,0,0.98931,go,223
real,0,0.802845,go,1590
real,0,0.54775,go,131
real,0,0.40667,go,2159
real,0,1.149455,go,2584
real,0,0.38504,go,1841
real,0,1.33839,go,3230
real,0,0.78686,go,2193
real,0,0.285,go,1922
real,0,0.526685,go,293
real,0,0.484945,go,1489
real,0,0.51607,go,132
real,0,0.53703,go,447
real,0,0.24346,go,3237
real,0,0.107275,go,2021
real,0,0.782445,he,85
real,0,0.19386,he,3237
real,0,0.60728,he,1841
real,0,2.531645,he,2455
real,0,1.712205,he,2741
real,0,0.47197,he,1489
real,0,0.08177,he,2494
real,0,0.773645,he,2697
real,0,0.87852,he,219
real,0,0.870095,he,1945
real,0,0.254,he,1922
real,0,0.484695,he,43
real,0,1.0659,he,349
real,0,0.26562,he,2021
real,0,2.21093,he,36
real,0,0.6169,he,1590
real,0,1.55432,he,467
real,0,0.56285,he,1807
real,0,0.533245,he,2065
real,0,1.0829,he,445
real,0,0.63,he,1960
real,0,4.442035,he,2041
real,0,0.5974,he,2704
real,0,0.54897,he,395
real,0,0.486,he,212
real,0,1.16585,he,50
pseudo,0,0.363045,hu,1841
pseudo,0,0.333275,hu,2021
pseudo,0,0.082395,hu,2494
pseudo,0,0.055225,hu,1934
pseudo,0,0.285455,hu,3237
pseudo,0,1.70316,hu,373
pseudo,0,0.43518,hu,2741
pseudo,0,1.052035,hu,1946
pseudo,0,0.943405,hu,2799
pseudo,0,0.0698,hu,446
pseudo,0,0.856,hy,1922
pseudo,0,1.95475,hy,253
pseudo,0,0.033875,hy,1934
pseudo,0,0.81914,hy,50
pseudo,0,0.35269,hy,1841
pseudo,0,0.90773,hy,43
pseudo,0,1.01731,hy,67
pseudo,0,1.50888,hy,230
pseudo,0,0.77007,hy,2045
pseudo,0,0.59898,hy,2589
pseudo,0,2.18387,hy,346
pseudo,0,0.090245,hy,2159
pseudo,0,0.23408,hy,3237
pseudo,0,1.287205,hy,3254
pseudo,0,0.7715,hy,446
pseudo,0,0.062425,hy,1489
pseudo,0,0.46104,hy,2021
real,0,0.84524,if,2589
real,0,0.476285,if,44
real,0,1.434345,if,336
real,0,0.3674,if,445
real,0,0.6187,if,2239
real,0,0.544695,if,309
real,0,1.23867,if,416
real,0,0.629125,if,2193
real,0,0.483305,if,3230
real,0,0.71768,if,1857
real,0,0.63152,if,132
real,0,0.687,if,212
real,0,0.1402,if,446
real,0,0.907185,if,2159
real,0,2.987315,if,2041
real,0,0.41797,if,427
real,0,0.470825,if,153
real,0,3.207,if,2946
real,0,0.227135,if,3237
real,0,5.351165,if,2612
real,0,0.857715,in,336
real,0,0.60072,in,131
real,0,0.622075,in,2193
real,0,0.8541,in,445
real,0,0.441345,in,2041
real,0,0.77031,in,230
real,0,0.133535,in,3237
real,0,0.551245,in,349
real,0,5.10351,in,409
real,0,0.651345,in,1807
real,0,0.9283,in,1945
real,0,0.42144,in,119
pseudo,0,0.89379,ip,2021
pseudo,0,0.265235,ip,1934
pseudo,0,0.32047,ip,3230
pseudo,0,0.50768,ip,2159
pseudo,0,0.2874,ip,445
pseudo,0,2.597625,ip,373
pseudo,0,0.43378,ip,2045
pseudo,0,0.70319,ip,2455
pseudo,0,0.18408,ip,1807
pseudo,0,0.300005,ip,2065
pseudo,0,0.514,ip,212
pseudo,0,0.41576,ip,2741
pseudo,0,0.863745,ip,1846
pseudo,0,0.323885,ip,1841
pseudo,0,0.55453,ip,2193
pseudo,0,0.518845,ip,43
pseudo,0,0.844735,ip,3237
pseudo,0,0.325995,ip,87
pseudo,0,0.8035,ip,469
pseudo,0,0.841535,ip,3254
real,0,0.483655,is,183
real,0,0.386995,is,245
real,0,0.35636,is,1934
real,0,0.5378,is,445
real,0,0.292365,is,3237
real,0,0.364835,is,3230
real,0,0.649215,is,43
real,0,0.530285,is,469
real,0,0.85593,is,1980
real,0,0.133095,is,2021
real,0,0.732665,is,132
real,0,0.663045,me,1945
real,0,0.62681,me,358
real,0,2.52068,me,2455
real,0,1.20518,me,3230
real,0,0.523215,me,3254
real,0,0.67078,me,44
real,0,0.63348,me,3247
real,0,1.09232,my,416
real,0,0.95666,my,36
real,0,0.617795,my,447
real,0,0.604775,my,2555
real,0,0.350115,my,1841
real,0,0.56979,my,43
real,0,0.98468,my,1930
real,0,0.3408,my,445
pseudo,0,1.916255,na,346
pseudo,0,0.383815,na,1489
pseudo,0,1.47808,na,44
pseudo,0,0.57696,na,469
pseudo,0,0.72064,na,367
pseudo,0,0.19154,na,87
pseudo,0,2.46736,na,361
pseudo,0,1.674425,na,3247
pseudo,0,1.192095,na,3254
pseudo,0,1.350905,na,2159
pseudo,0,0.42257,na,2741
real,0,0.99948,no,309
real,0,1.62969,no,373
real,0,0.6075,no,23
real,0,0.49926,no,2611
real,0,0.518145,no,1841
real,0,0.7484,no,1934
real,0,1.69436,no,1960
real,0,1.14728,no,241
real,0,0.6356,no,445
real,0,0.3685,no,446
real,0,0.41718,no,87
real,0,0.45835,no,119
real,0,0.538235,no,2065
real,0,0.382075,no,43
real,0,0.987115,no,1590
real,0,2.175225,no,2159
real,0,0.9805,no,2704
real,0,1.091745,of,3247
real,0,1.202025,of,373
real,0,1.113075,of,1980
real,0,0.72149,of,1857
real,0,0.403505,of,1841
real,0,0.7532,of,445
real,0,19.511945,of,2611
real,0,0.7783,of,446
real,0,0.68967,of,2998
real,0,4.08433,of,1365
real,0,3.599855,of,3254
real,0,0.92149,of,319
real,0,0.60057,of,353
real,0,0.43277,of,38
real,0,0.58199,of,2741
real,0,0.47852,of,2494
real,0,1.651575,of,467
pseudo,0,0.34,om,212
pseudo,0,0.34204,om,1841
pseudo,0,1.468645,om,346
pseudo,0,1.05621,om,2799
pseudo,0,0.8327,om,2998
pseudo,0,0.161795,om,2021
pseudo,0,0.62519,om,2159
pseudo,0,0.834415,om,1489
pseudo,0,1.166585,om,1856
pseudo,0,0.78739,om,3254
pseudo,0,0.531205,om,3230
pseudo,0,0.398915,om,1934
real,0,0.52722,on,43
real,0,1.085315,on,230
real,0,0.631455,on,469
real,0,0.88449,on,223
real,0,1.019,on,2946
real,0,0.28728,on,2021
real,0,0.52045,on,51
real,0,0.564145,on,1934
real,0,0.53557,on,2239
real,0,0.1385,on,445
real,0,0.835,on,352
real,0,0.81681,on,2799
real,0,0.74996,on,1590
real,0,0.694115,on,358
real,0,0.552125,on,2611
real,0,0.3837,on,1841
pseudo,0,1.35093,os,2041
pseudo,0,0.65038,os,1960
pseudo,0,0.076085,os,87
pseudo,0,0.331505,os,2741
pseudo,0,0.5864,os,446
