"item","id","resp","Qmatrix__1","Qmatrix__2","Qmatrix__3","Qmatrix__4","Qmatrix__5","Qmatrix__6","Qmatrix__7","Qmatrix__8"
item_1,92,0,0,0,0,1,0,1,1,0
item_1,320,0,0,0,0,1,0,1,1,0
item_2,352,0,0,0,0,1,0,0,1,0
item_2,26,0,0,0,0,1,0,0,1,0
item_2,200,0,0,0,0,1,0,0,1,0
item_2,515,0,0,0,0,1,0,0,1,0
item_2,48,0,0,0,0,1,0,0,1,0
item_2,5,0,0,0,0,1,0,0,1,0
item_2,144,0,0,0,0,1,0,0,1,0
item_2,70,0,0,0,0,1,0,0,1,0
item_3,181,0,0,0,0,1,0,0,1,0
item_3,40,0,0,0,0,1,0,0,1,0
item_4,13,0,0,1,1,0,1,0,1,0
item_4,306,0,0,1,1,0,1,0,1,0
item_5,45,0,0,1,0,1,0,0,1,1
item_5,452,0,0,1,0,1,0,0,1,1
item_6,285,0,0,0,0,0,0,0,1,0
item_7,426,0,1,1,0,0,0,0,1,0
item_7,397,0,1,1,0,0,0,0,1,0
item_7,129,0,1,1,0,0,0,0,1,0
item_7,286,0,1,1,0,0,0,0,1,0
item_7,274,0,1,1,0,0,0,0,1,0
item_7,170,0,1,1,0,0,0,0,1,0
item_9,97,0,0,1,0,0,0,0,0,0
item_10,53,0,0,1,0,0,1,0,1,1
item_10,3,0,0,1,0,0,1,0,1,1
item_11,353,0,0,1,0,0,1,0,1,0
item_11,59,0,0,1,0,0,1,0,1,0
item_12,268,0,0,0,0,0,0,0,1,1
item_12,7,0,0,0,0,0,0,0,1,1
item_13,230,0,0,1,0,1,1,0,1,0
item_13,310,0,0,1,0,1,1,0,1,0
item_14,253,0,0,1,0,0,0,0,1,0
item_16,522,0,0,1,0,0,0,0,1,0
item_16,297,0,0,1,0,0,0,0,1,0
item_16,47,0,0,1,0,0,0,0,1,0
item_16,482,0,0,1,0,0,0,0,1,0
item_17,145,0,0,1,0,0,1,0,1,0
item_17,451,0,0,1,0,0,1,0,1,0
item_17,4,0,0,1,0,0,1,0,1,0
item_17,373,0,0,1,0,0,1,0,1,0
item_17,226,0,0,1,0,0,1,0,1,0
item_18,261,0,0,1,0,0,1,1,1,0
item_18,388,0,0,1,0,0,1,1,1,0
item_18,252,0,0,1,0,0,1,1,1,0
item_18,320,0,0,1,0,0,1,1,1,0
item_18,506,0,0,1,0,0,1,1,1,0
item_18,306,0,0,1,0,0,1,1,1,0
item_19,381,0,1,1,1,0,1,0,1,0
item_19,428,0,1,1,1,0,1,0,1,0
item_19,337,0,1,1,1,0,1,0,1,0
item_19,324,0,1,1,1,0,1,0,1,0
item_20,499,0,0,1,1,0,1,0,1,0
item_20,310,0,0,1,1,0,1,0,1,0
item_20,307,0,0,1,1,0,1,0,1,0
item_20,446,0,0,1,1,0,1,0,1,0
item_2,3,1,0,0,0,1,0,0,1,0
item_2,65,1,0,0,0,1,0,0,1,0
item_3,212,1,0,0,0,1,0,0,1,0
item_3,374,1,0,0,0,1,0,0,1,0
item_4,251,1,0,1,1,0,1,0,1,0
item_4,213,1,0,1,1,0,1,0,1,0
item_5,93,1,0,1,0,1,0,0,1,1
item_5,141,1,0,1,0,1,0,0,1,1
item_6,292,1,0,0,0,0,0,0,1,0
item_6,157,1,0,0,0,0,0,0,1,0
item_6,232,1,0,0,0,0,0,0,1,0
item_7,439,1,1,1,0,0,0,0,1,0
item_7,157,1,1,1,0,0,0,0,1,0
item_7,201,1,1,1,0,0,0,0,1,0
item_8,192,1,0,0,0,0,0,0,1,0
item_8,520,1,0,0,0,0,0,0,1,0
item_8,273,1,0,0,0,0,0,0,1,0
item_8,384,1,0,0,0,0,0,0,1,0
item_8,401,1,0,0,0,0,0,0,1,0
item_8,467,1,0,0,0,0,0,0,1,0
item_9,511,1,0,1,0,0,0,0,0,0
item_9,278,1,0,1,0,0,0,0,0,0
item_9,36,1,0,1,0,0,0,0,0,0
item_9,104,1,0,1,0,0,0,0,0,0
item_10,273,1,0,1,0,0,1,0,1,1
item_11,531,1,0,1,0,0,1,0,1,0
item_11,42,1,0,1,0,0,1,0,1,0
item_11,259,1,0,1,0,0,1,0,1,0
item_12,98,1,0,0,0,0,0,0,1,1
item_12,164,1,0,0,0,0,0,0,1,1
item_12,142,1,0,0,0,0,0,0,1,1
item_12,437,1,0,0,0,0,0,0,1,1
item_14,197,1,0,1,0,0,0,0,1,0
item_14,482,1,0,1,0,0,0,0,1,0
item_15,91,1,1,0,0,0,0,0,1,0
item_15,323,1,1,0,0,0,0,0,1,0
item_15,96,1,1,0,0,0,0,0,1,0
item_15,184,1,1,0,0,0,0,0,1,0
item_16,197,1,0,1,0,0,0,0,1,0
item_16,351,1,0,1,0,0,0,0,1,0
item_17,31,1,0,1,0,0,1,0,1,0
item_17,149,1,0,1,0,0,1,0,1,0
item_17,453,1,0,1,0,0,1,0,1,0
item_18,400,1,0,1,0,0,1,1,1,0
item_18,282,1,0,1,0,0,1,1,1,0
item_18,64,1,0,1,0,0,1,1,1,0
item_19,109,1,1,1,1,0,1,0,1,0
item_19,127,1,1,1,1,0,1,0,1,0
item_20,445,1,0,1,1,0,1,0,1,0
item_1,414,0,0,0,0,1,0,1,1,0
item_1,8,0,0,0,0,1,0,1,1,0
item_1,134,0,0,0,0,1,0,1,1,0
item_1,228,0,0,0,0,1,0,1,1,0
item_2,511,0,0,0,0,1,0,0,1,0
item_2,524,0,0,0,0,1,0,0,1,0
item_2,265,0,0,0,0,1,0,0,1,0
item_2,233,0,0,0,0,1,0,0,1,0
item_2,390,0,0,0,0,1,0,0,1,0
item_2,260,0,0,0,0,1,0,0,1,0
item_2,426,0,0,0,0,1,0,0,1,0
item_3,29,0,0,0,0,1,0,0,1,0
item_3,454,0,0,0,0,1,0,0,1,0
item_3,296,0,0,0,0,1,0,0,1,0
item_3,9,0,0,0,0,1,0,0,1,0
item_4,120,0,0,1,1,0,1,0,1,0
item_4,166,0,0,1,1,0,1,0,1,0
item_7,412,0,1,1,0,0,0,0,1,0
item_7,35,0,1,1,0,0,0,0,1,0
item_7,107,0,1,1,0,0,0,0,1,0
item_7,355,0,1,1,0,0,0,0,1,0
item_9,426,0,0,1,0,0,0,0,0,0
item_9,534,0,0,1,0,0,0,0,0,0
item_9,503,0,0,1,0,0,0,0,0,0
item_10,347,0,0,1,0,0,1,0,1,1
item_10,176,0,0,1,0,0,1,0,1,1
