id,age,gender,education,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsivity,sensation_seeking,alcohol_ever,alcohol_year,alcohol_week,caffeine_ever,caffeine_year,caffeine_week,cannabis_ever,cannabis_year,cannabis_week,cocaine_ever,cocaine_year,cocaine_week,meth_ever,meth_year,meth_week
1,35-44,F,Ed6,39,36,42,37,42,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2,25-34,M,Ed9,29,52,55,48,41,2,5,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
3,35-44,M,Ed6,31,45,40,32,34,1,7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
4,18-24,F,Ed8,34,34,46,47,46,1,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
5,35-44,F,Ed9,43,28,43,41,50,3,5,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
6,65+,F,Ed4,29,38,35,55,52,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
7,45-54,M,Ed8,31,32,43,41,48,3,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
8,35-44,M,Ed2,24,52,40,41,52,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9,35-44,F,Ed6,42,55,39,48,49,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
10,55-64,M,Ed8,33,40,36,47,43,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
11,25-34,F,Ed7,26,45,38,38,53,4,6,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
12,45-54,M,Ed5,24,40,47,30,38,5,9,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
13,55-64,F,Ed7,56,41,49,32,36,7,6,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
14,55-64,F,Ed6,28,45,46,49,59,2,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
15,55-64,F,Ed6,27,49,49,39,52,7,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
16,55-64,M,Ed7,19,29,35,36,49,2,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
17,35-44,F,Ed5,22,34,34,45,47,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
18,45-54,M,Ed2,41,31,44,40,31,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
19,55-64,M,Ed7,49,39,45,30,30,2,5,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
20,35-44,M,Ed6,32,27,29,30,47,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1
21,45-54,M,Ed6,28,45,51,53,33,4,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
22,65+,M,Ed1,25,43,38,39,53,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
23,45-54,M,Ed7,40,33,40,50,35,2,6,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
24,45-54,M,Ed2,51,16,37,45,34,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
25,55-64,M,Ed7,34,44,54,48,51,3,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
26,45-54,M,Ed5,28,37,37,49,42,3,7,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
27,55-64,F,Ed4,35,28,24,38,46,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
28,35-44,M,Ed7,41,31,46,43,25,8,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
29,35-44,F,Ed8,36,29,41,45,50,4,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
30,45-54,M,Ed9,24,51,52,49,53,3,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
31,45-54,M,Ed2,39,34,37,33,37,1,6,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
32,35-44,F,Ed2,25,34,47,39,42,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
33,35-44,M,Ed7,28,31,46,46,42,4,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
34,18-24,M,Ed7,40,38,48,51,41,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
35,35-44,M,Ed7,46,44,52,23,36,5,10,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0
36,65+,M,Ed1,33,34,28,41,36,5,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
37,35-44,M,Ed7,33,36,45,43,30,3,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
38,55-64,M,Ed1,39,42,53,44,37,5,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
39,45-54,M,Ed7,22,48,48,43,47,3,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
40,65+,F,Ed6,33,33,38,38,45,1,5,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
41,35-44,M,Ed8,36,37,46,29,47,2,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
42,35-44,F,Ed7,44,40,53,54,39,3,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
43,35-44,M,Ed8,34,33,37,43,37,3,4,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
44,35-44,M,Ed6,27,36,44,42,34,3,5,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
45,25-34,M,Ed7,26,49,49,51,48,3,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
46,25-34,F,Ed7,31,43,54,49,52,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
47,45-54,F,Ed5,39,44,38,45,51,2,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
48,45-54,M,Ed8,19,45,48,49,49,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
49,45-54,M,Ed2,37,34,44,42,37,4,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
50,25-34,F,Ed8,44,36,32,37,44,5,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
51,35-44,M,Ed8,46,39,45,35,42,2,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
52,45-54,M,Ed6,47,46,42,37,27,8,10,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
53,55-64,F,Ed7,34,40,36,45,36,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
54,45-54,M,Ed8,23,39,53,45,44,3,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
55,55-64,M,Ed2,36,47,42,36,33,7,9,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
56,55-64,F,Ed6,36,35,38,40,39,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
57,35-44,F,Ed5,36,40,34,43,44,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
58,25-34,F,Ed7,30,44,32,45,47,2,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
59,45-54,M,Ed4,38,44,46,40,39,8,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
60,45-54,M,Ed7,31,31,37,32,41,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
61,25-34,F,Ed9,49,42,48,41,40,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
62,45-54,M,Ed8,18,50,54,44,50,1,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
63,25-34,M,Ed7,30,30,33,34,45,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
64,45-54,M,Ed7,46,38,41,39,42,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
65,45-54,M,Ed9,22,43,53,40,48,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
66,35-44,M,Ed5,43,43,40,50,46,5,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
67,45-54,M,Ed2,26,35,38,51,45,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,25-34,M,Ed8,32,38,53,37,41,6,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
69,35-44,M,Ed6,27,40,48,42,40,3,6,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
70,45-54,F,Ed2,35,35,34,45,42,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
71,25-34,M,Ed5,32,38,47,30,40,5,8,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0
72,45-54,F,Ed4,31,47,44,50,43,0,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
